jogo,jogo_original_fonte,espn_event_id,team,team_espn,team_norm,source_url,collected_at,stat_foulsCommitted,stat_yellowCards,stat_redCards,stat_offsides,stat_wonCorners,stat_saves,stat_possessionPct,stat_totalShots,stat_shotsOnTarget,stat_shotPct,stat_penaltyKickGoals,stat_penaltyKickShots,stat_accuratePasses,stat_totalPasses,stat_passPct,stat_accurateCrosses,stat_totalCrosses,stat_crossPct,stat_totalLongBalls,stat_accurateLongBalls,stat_longballPct,stat_blockedShots,stat_effectiveTackles,stat_totalTackles,stat_tacklePct,stat_interceptions,stat_effectiveClearance,stat_totalClearance,source_file,temporal_status
95,95,760509,Argentina,Argentina,argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760509,2026-07-20T17:29:26.974658+00:00,13,0,0,3,6,0,63.6,19,7,0.4,0,1,541,602,0.9,8,26,0.3,30,18,0.6,4,15,20,0.8,7,14,14,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760509__72a2d141e7be54eb.json,POST_MATCH_BACKFILLED_FACT
95,95,760509,Egito,Egypt,egito,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760509,2026-07-20T17:29:26.974861+00:00,11,4,0,0,1,4,36.4,5,2,0.4,0,0,287,349,0.8,2,8,0.3,37,13,0.4,1,7,16,0.4,9,44,44,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760509__72a2d141e7be54eb.json,POST_MATCH_BACKFILLED_FACT
96,96,760508,Colômbia,Colombia,colombia,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.895658+00:00,21,2,0,4,7,2,46.6,15,3,0.2,0,0,454,547,0.8,3,19,0.2,79,33,0.4,4,8,17,0.5,13,22,22,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760508__5c4879696c8c309a.json,POST_MATCH_BACKFILLED_FACT
96,96,760508,Suíça,Switzerland,suica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760508,2026-07-20T17:29:29.895466+00:00,22,3,0,5,3,3,53.4,7,2,0.3,0,0,547,631,0.9,1,15,0.1,62,32,0.5,1,7,12,0.6,14,35,35,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760508__5c4879696c8c309a.json,POST_MATCH_BACKFILLED_FACT
97,97,760510,França,France,franca,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760510,2026-07-20T17:29:34.646999+00:00,10,0,0,0,5,1,48.0,22,8,0.4,0,1,432,486,0.9,5,12,0.4,30,14,0.5,5,8,11,0.7,13,20,20,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760510__04adbb32568b28a3.json,POST_MATCH_BACKFILLED_FACT
97,97,760510,Marrocos,Morocco,marrocos,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760510,2026-07-20T17:29:34.647211+00:00,13,1,0,0,5,6,52.0,5,1,0.2,0,0,452,526,0.9,2,13,0.2,39,11,0.3,1,5,16,0.3,6,12,12,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760510__04adbb32568b28a3.json,POST_MATCH_BACKFILLED_FACT
98,98,760511,Bélgica,Belgium,belgica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760511,2026-07-20T17:29:38.250586+00:00,18,2,0,1,1,6,32.1,5,2,0.4,0,0,243,312,0.8,2,11,0.2,45,20,0.4,2,6,10,0.6,9,34,34,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760511__24094c879eacbc2b.json,POST_MATCH_BACKFILLED_FACT
98,98,760511,Espanha,Spain,espanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760511,2026-07-20T17:29:38.250385+00:00,13,2,0,3,5,1,67.9,17,8,0.5,0,0,598,664,0.9,2,20,0.1,35,19,0.5,5,6,11,0.5,5,15,15,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760511__24094c879eacbc2b.json,POST_MATCH_BACKFILLED_FACT
99,99,760512,Inglaterra,England,inglaterra,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760512,2026-07-20T17:29:41.749772+00:00,8,0,0,5,4,3,52.4,14,8,0.6,0,0,568,628,0.9,9,21,0.4,50,26,0.5,3,9,15,0.6,6,35,35,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760512__4c874e13cb5e1191.json,POST_MATCH_BACKFILLED_FACT
99,99,760512,Noruega,Norway,noruega,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760512,2026-07-20T17:29:41.749580+00:00,10,1,0,1,7,6,47.6,13,4,0.3,0,0,494,577,0.9,3,19,0.2,46,18,0.4,3,11,24,0.5,9,21,21,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760512__4c874e13cb5e1191.json,POST_MATCH_BACKFILLED_FACT
100,100,760513,Argentina,Argentina,argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760513,2026-07-20T17:29:45.711367+00:00,14,3,0,4,8,4,59.0,22,7,0.3,0,0,614,691,0.9,7,22,0.3,51,22,0.4,7,8,17,0.5,13,31,31,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760513__912b3e56fdc24fcb.json,POST_MATCH_BACKFILLED_FACT
100,100,760513,Suíça,Switzerland,suica,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760513,2026-07-20T17:29:45.711574+00:00,18,1,1,3,2,4,41.0,11,5,0.5,0,0,398,474,0.8,3,19,0.2,53,22,0.4,3,5,11,0.5,4,28,28,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760513__912b3e56fdc24fcb.json,POST_MATCH_BACKFILLED_FACT
101,101,760514,Espanha,Spain,espanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760514,2026-07-20T17:29:48.000999+00:00,12,1,0,5,1,3,50.9,10,2,0.2,0,1,427,502,0.9,1,7,0.1,51,14,0.3,3,14,22,0.6,7,22,22,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760514__9e01d6f2b6460921.json,POST_MATCH_BACKFILLED_FACT
101,101,760514,França,France,franca,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760514,2026-07-20T17:29:48.000803+00:00,11,2,0,4,7,0,49.1,10,3,0.3,0,0,395,472,0.8,4,20,0.2,36,19,0.5,2,8,13,0.6,8,11,11,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760514__9e01d6f2b6460921.json,POST_MATCH_BACKFILLED_FACT
102,102,760515,Argentina,Argentina,argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760515,2026-07-20T17:29:53.122066+00:00,15,3,0,3,6,1,64.2,15,5,0.3,0,0,537,588,0.9,6,20,0.3,27,13,0.5,3,9,20,0.5,6,31,31,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760515__28681b6559fafd5f.json,POST_MATCH_BACKFILLED_FACT
102,102,760515,Inglaterra,England,inglaterra,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760515,2026-07-20T17:29:53.121879+00:00,11,1,0,1,2,3,35.8,5,2,0.4,0,0,273,325,0.8,3,16,0.2,42,16,0.4,2,9,15,0.6,9,27,27,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760515__28681b6559fafd5f.json,POST_MATCH_BACKFILLED_FACT
103,103,760516,França,France,franca,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760516,2026-07-20T17:29:57.240500+00:00,14,0,0,3,3,4,45.9,19,9,0.5,0,0,404,445,0.9,1,5,0.0,26,17,0.7,4,10,16,0.6,9,10,10,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760516__643c02200b1b12a5.json,POST_MATCH_BACKFILLED_FACT
103,103,760516,Inglaterra,England,inglaterra,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760516,2026-07-20T17:29:57.240684+00:00,8,0,0,3,4,5,54.1,19,11,0.6,0,1,469,518,0.9,4,12,0.3,35,15,0.4,6,13,27,0.5,11,12,12,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760516__643c02200b1b12a5.json,POST_MATCH_BACKFILLED_FACT
104,104,760517,Argentina,Argentina,argentina,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760517,2026-07-20T17:30:01.188903+00:00,25,4,1,1,4,11,34.9,2,0,0.0,0,0,357,464,0.8,1,7,0.1,74,25,0.3,1,14,18,0.8,15,24,24,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760517__a7bf90b0c8b2018f.json,POST_MATCH_BACKFILLED_FACT
104,104,760517,Espanha,Spain,espanha,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/summary?event=760517,2026-07-20T17:30:01.188716+00:00,21,0,0,4,9,0,65.1,20,12,0.6,0,0,763,853,0.9,5,27,0.2,52,23,0.4,3,12,17,0.7,11,23,23,data/raw/wc2026_complete_20260720/espn_summary/summary_event_760517__a7bf90b0c8b2018f.json,POST_MATCH_BACKFILLED_FACT
